,slope,inter,rvalue,r2,eta_0,omega,meth_init,system_size,var_init,abs_der,saturating_std,saturating_der,saturating
cg23469878,-0.003520825118256643,0.7665515463707484,-0.7085633837079677,0.5020620687316847,0.3908978499787645,0.016873426975847792,0.8142322744869988,26.373405927538087,2.57791482323291,0.0015644569668166965,False,False,False
cg23553442,0.0013552706745885857,0.11713142025612205,0.5801863105180095,0.33661615491250013,0.9926001411559208,0.0015828484001744513,0.11873055221035854,42.67513431892994,2.412728281250715,0.0011995488486976067,False,False,False
cg04521765,-0.0011909285215203744,0.8266865750809131,-0.5680446272866805,0.32267469858926373,0.006752798567752713,0.0014774738686536043,0.8252023318866117,34.150632517428285,0.7990968574474892,0.001058674436739542,False,False,False
cg04766005,-0.0013990560123965292,0.5620661848772974,-0.5674890278912313,0.32204379677693473,0.022831475779976095,0.003086886675689348,0.5687385019477589,33.38214476903835,1.356418323688429,0.0012763910894268656,False,False,False
cg05825420,0.0011525863983700136,0.13289333412251148,0.5618768946331437,0.3157056447225849,0.9841769092939167,0.0014617890250015041,0.13089263212722915,41.98604535543591,1.4764739660559336,0.0010935589983886722,False,False,False
cg06291867,0.0013569530500665407,0.10715376353064997,0.6760830155379404,0.4570882438988749,0.9875520873491312,0.0016390385185067707,0.10639139872350026,88.66320183951439,7.746601229603502,0.0012461777389349055,False,False,False
cg08469939,-0.002050577474108447,0.5724409495200969,-0.6296817334259455,0.39649908541030343,0.31322455059736515,0.01271160235650881,0.5937226395565659,50.58279044383224,5.223984039366102,0.001135737896405599,False,False,False
cg10376827,-0.0023085110990141108,0.6334504347239299,-0.5871759647989158,0.34477561363753756,0.3293289598943967,0.01169985707463032,0.6530108715590731,35.75722091657739,7.491897946863078,0.0013212727672086276,False,False,False
cg10492836,-0.0018997518662821847,0.6773275515155546,-0.6081058484851447,0.3697927229618378,0.4376799997227862,0.01268509017848042,0.6960572166988013,54.36018761640772,9.594710639738981,0.0010464824634909766,False,False,False
cg13654588,0.0015216697234816652,0.14354318912230088,0.6228598048885688,0.38795433654582606,0.9606539019419698,0.0020742825168475988,0.1400161160133409,46.45847145848521,2.779730724242248,0.0014123520554282843,False,False,False
cg13848598,0.0024892456454156547,0.2901009142795681,0.7583348273520948,0.5750717103751314,0.6115783036512698,0.012215550665024152,0.2665527134513103,67.62892642843417,7.691359888746012,0.0014037869297958722,False,False,False
cg18389639,-0.0014440798222136763,0.7226355833797454,-0.5528645266170491,0.3056591847914938,0.009592434017905618,0.0022139372493343453,0.7244317737609519,33.52272025004426,1.9750710082192413,0.0012966975388756191,False,False,False
cg19392831,0.0013923420441599116,0.3032510111938919,0.6619639677031601,0.4381962945373104,0.9919612073377513,0.0022325127491980633,0.30099406581714533,58.19024192282962,2.7444148528162073,0.0012617991365292801,False,False,False
cg22891191,-0.0030831202083002594,0.6619408087016406,-0.670493878476944,0.44956204107505493,0.31197824952270453,0.01514221909080592,0.6993913469141998,25.1499741591106,1.767485006558113,0.0015014380822792194,False,False,False
cg25427880,0.002110971314894255,0.12728921746321312,0.7726696002310611,0.5970183111212278,0.5922186425225117,0.005730858862304347,0.11854518187169419,95.03466782420011,12.870595220084391,0.0016206884276681202,False,False,False
cg25633772,-0.001181953432758575,0.8385044018941694,-0.5713557180179842,0.3264473565118463,0.02502609868017327,0.0015947056361854941,0.8412242255693857,46.39444726137568,2.0880949029345266,0.0011275729679688339,False,False,False
cg02318971,0.0012679213850796676,0.19028448927475464,0.5926172198678936,0.3511951692839514,0.9875653021830435,0.0016899036131252814,0.1897425561832102,70.85201054440418,7.4285508407392635,0.001158019640205837,False,False,False
cg05713486,-0.00122838978904631,0.8481973474200024,-0.553869941897111,0.30677191253710917,0.010144204706463465,0.0015176628883923579,0.8475440594414304,37.196124317849275,1.5229932083418583,0.0011086336590764385,False,False,False
cg06008062,-0.0013548589509513992,0.37761251639422944,-0.5748032415990613,0.33039876655278877,0.00971597970821126,0.00450293600661972,0.3831386819130633,40.468079849937375,2.743489483762593,0.0011212242158661193,False,False,False
cg08770647,-0.0013633887899058299,0.8554190001948863,-0.6702450438173468,0.4492284187617172,0.030305777675294177,0.0017949217293751463,0.8574754217717973,89.53361383817283,8.460513947616175,0.0012632313321758314,False,False,False
cg13452386,-0.0013712747125843782,0.672912815522471,-0.5958497604188348,0.35503693699118277,0.04538536812311015,0.0024672040930605057,0.6764205044466634,63.954222368480565,7.003557554250385,0.0012468787898430077,False,False,False
cg13463639,-0.001356213508122137,0.7748071152499507,-0.5714382413997819,0.32654166373407545,0.021369305548366985,0.0019704202414638486,0.776908393409955,48.514102025143686,3.904148158004568,0.0012468062203363078,False,False,False
cg13806741,0.0014205015726156775,0.20157153425482188,0.6523781035977738,0.42559719005382773,0.9464536933727953,0.002111246739639275,0.1987433394525204,68.31156197654103,5.34943961738743,0.0013054226197670865,False,False,False
cg14006677,-0.0017222664227562342,0.42933280341549085,-0.558093332012557,0.31146816723687815,0.021394307234481533,0.005246228136411847,0.43625337012629894,40.82053062006214,7.164531180055298,0.001357347478733315,False,False,False
cg14934413,0.001303407396551451,0.17737780527501412,0.5992665713903896,0.35912042358599294,0.9682119243432956,0.0018369933321469004,0.17386765725336348,44.93899431824951,1.7765336412966017,0.0012368433528016911,False,False,False
cg15763258,-0.0013094285030157008,0.860592428414362,-0.6076243974799344,0.36920740841285327,0.012685331258050695,0.0016176748486859548,0.8603378804228629,65.72489737434363,5.9189585793137445,0.001185440750001573,False,False,False
cg16509978,-0.001177861252165784,0.3694180491115039,-0.5496862056658517,0.302154924699321,0.02827078957970919,0.004286401620157875,0.3757514451142639,36.66639476818148,1.3733576162589785,0.0010127052028213292,False,False,False
cg17111166,-0.002011595387618731,0.746638016243488,-0.5807507538426533,0.33727143808881005,0.47071166999760167,0.011098828136740277,0.7638761702878469,36.194707482692934,3.9662449900336365,0.0011983236287829524,False,False,False
cg17592231,0.0012269883729711033,0.41567623926930664,0.5671311457442039,0.32163773647313343,0.9963373928926603,0.0021834501470499317,0.4176243523420015,38.00575778837355,1.582352992358217,0.0010381571937448308,False,False,False
cg21992250,0.0011325959621385664,0.17415634358865065,0.5889700834839684,0.3468857592391127,0.9741131434179696,0.0015335420254448627,0.1722788485780797,53.74413399300582,2.327396138351921,0.0010711234162820462,False,False,False
cg24099956,-0.002062734324830248,0.7374633717273986,-0.6949781109964274,0.4829945747641625,0.3429416224322496,0.006961780842518578,0.7490088775574881,47.740524314402116,2.2645233756613377,0.0015107988548612417,False,False,False
cg24719321,0.0012946248953434338,0.11264647659543289,0.5960411807865396,0.3552650891934123,0.9166714024728456,0.0018045871009402747,0.10859977696588126,49.171698939256515,2.3811564751478054,0.0012396317932950665,False,False,False
cg24803614,-0.0021408922815459594,0.6669043686195502,-0.5730240693190494,0.32835658401896267,0.018971945979479526,0.0040040938966150455,0.6764847729431275,25.29168235076268,2.2349244544449367,0.0018361258851698605,False,False,False
cg25371036,-0.002526975385421075,0.8474119896223017,-0.7480645030198622,0.5596005006783533,0.5598450269091158,0.014934882160834002,0.875707674793875,51.519380127919156,2.8662877934928286,0.001230120766299237,False,False,False
cg25994988,-0.0024247445822383686,0.6336333410569318,-0.7863037493220083,0.6182735861978477,0.34798920654355187,0.014141779024504577,0.6598329555989365,89.65157514486604,11.339265891805015,0.0012350609665029075,False,False,False
cg27209729,-0.004002122727758082,0.7641900768861741,-0.8107152295658744,0.6572591834500484,0.26578525963293165,0.012870124019358501,0.8039983796876232,42.522111696451226,4.463055653406435,0.002175148271024473,False,False,False
cg00753885,-0.0016585352387201468,0.8933656760344639,-0.739916094526019,0.5474758269386367,0.5820539082031908,0.0071202020741927274,0.902739529384355,85.69160690954483,4.481633301195649,0.0012030065846857045,False,False,False
cg04671742,-0.0020216164084339836,0.7925035906036113,-0.6492677851640357,0.4215486568518124,0.55198070653846,0.014018877771395585,0.8150028695858859,52.022309217811525,5.613344929354602,0.0010441350652404895,False,False,False
cg08160085,-0.0018547806099707767,0.8520201817894094,-0.5571785826150472,0.31044797292491294,0.08230137220482524,0.002820418437602886,0.8596802090560148,25.779049582792148,1.7128612939310175,0.0017010064627121827,False,False,False
cg08622677,0.0013443216296815702,0.12549856896760808,0.7040207974900091,0.4956452832984684,0.9844734595963056,0.0016851765773564758,0.12389896500249602,85.53839113737651,4.8578161163886335,0.0012461382437440067,False,False,False
cg10366797,0.001518521341348205,0.29205001632875405,0.567008313374169,0.32149842743541984,0.5379077326161895,0.008826834514525685,0.2806569827526443,53.33958161382767,4.864306291483497,0.0010260098658678284,False,False,False
cg11009362,0.0011070772930955,0.10695140549000776,0.5896761368465633,0.34771794636628683,0.9777873133334956,0.0013735147406364865,0.10487506091126639,49.690309648816964,1.5256932539812686,0.0010595416311148785,False,False,False
cg11649376,-0.0026749675521091053,0.7791541902048306,-0.8179873148477426,0.6691032472518199,0.4466290096015362,0.012909084318902904,0.8052256195085932,98.4261134051782,15.100656268359092,0.0014485405235446123,False,False,False
cg11857514,-0.0014118577466646527,0.783686762901936,-0.5550473334582477,0.3080775423791113,0.013724432606372456,0.001982841849926375,0.7851316956897939,33.35382535003914,1.7213949806369446,0.0012795858989348005,False,False,False
cg12878812,0.0014206073464922587,0.17800699127655562,0.6793117885862292,0.4614645061122218,0.9594009913938485,0.001986843083342695,0.175821432280298,89.60058187609302,8.570846825341278,0.0013019308505322735,False,False,False
cg15125438,-0.0017681483978584124,0.8521181462571015,-0.7175590416254226,0.514890978218395,0.004412498790730879,0.0022174885248968886,0.8515686414015804,73.74159510515132,7.04637514406441,0.0015386894377563247,False,False,False
cg16725944,-0.0014142834738485742,0.699336251769901,-0.6336427757496087,0.4015031672596689,0.022091092024832722,0.002323009206423614,0.7020976098130587,64.64543449024458,5.566220404827122,0.0012816389550244147,False,False,False
cg17101285,-0.001275906374067742,0.8609979752003963,-0.6600479153967512,0.4356632506195969,0.4402979360212764,0.0035600901790767124,0.8648123223471869,92.5040378437897,7.7284158056912515,0.0010969881465168806,False,False,False
cg18628483,-0.0013878130878318472,0.7639306245374796,-0.5977275722827651,0.35727825066704816,0.01084764257275614,0.0019804727119490557,0.7648911345700125,53.109399941480135,4.290212782142839,0.0012495553707056266,False,False,False
cg18633600,0.0016469861435664049,0.1404886584394323,0.641160342520539,0.41108658482105487,0.3956508623048461,0.00929119448253903,0.12857538620424103,54.95900999092202,3.40657372359041,0.0010753386549889887,False,False,False
cg19056004,-0.0025299525786324564,0.7024636185220565,-0.7169651995383702,0.514039097349095,0.43604697142924204,0.017310575718124405,0.7369844542089332,57.21338991176782,7.165943121404939,0.001096927488259229,False,False,False
cg21370074,-0.001268969661576543,0.6556661229797414,-0.5507866627986071,0.30336594791682653,0.09100550977435265,0.002529135628368868,0.6585149851928547,69.57025218847103,10.126570183805258,0.0011431156444616608,False,False,False
cg22358580,0.0012699615694112484,0.21057165534626548,0.635252416756051,0.40354563299440355,0.9889261505138226,0.0017428541919694413,0.2094700422993863,61.204720172653786,3.164317097468419,0.0011612631470998712,False,False,False
cg23436584,-0.0018738884024347266,0.5935638052095366,-0.6229178437492611,0.38802664006122883,0.004108393538869493,0.00371147798286659,0.5982160974636745,122.49481801061633,65.72373222910514,0.001578859104806167,False,False,False
cg25031476,-0.0029508126365871364,0.8059120180223531,-0.6815301018036635,0.4644832796645119,0.522976824064953,0.021125570663401615,0.8586508769075039,31.637280784009018,2.0983664788806604,0.0010592574631016545,False,False,False
cg00308665,-0.00211878541300899,0.788699854381404,-0.6650544183664009,0.4422973793886718,0.4727674326009429,0.00980710833856314,0.8051466002822802,51.55016591378911,4.452314890041832,0.0013484945506440772,False,False,False
cg08534628,0.0013798017481420825,0.25915146398703043,0.557870462306323,0.3112194527138705,0.9485879529134491,0.0023084321696774483,0.25378912838444345,37.397151359245676,1.9596478506045512,0.0013030097071713305,False,False,False
cg11342437,-0.0019297340746151478,0.8029187126543863,-0.5684365503534081,0.3231201117776827,0.5008801351637737,0.009243727873573686,0.8178497711903262,31.514969054816543,2.361219152651699,0.0012751457044629087,False,False,False
cg18236477,0.0016043767010995458,0.11901072956171994,0.681380269555123,0.46427907173901206,0.9913711051380553,0.0019657092190565146,0.118370092032629,66.02847625701999,5.305701351106096,0.0014378094118596763,False,False,False
cg23869158,-0.0017682055489573665,0.8342820854631632,-0.5645742809147207,0.318744118670374,0.014911488173354037,0.002431339479215529,0.8386936322289034,23.829710165898735,0.9844266826954687,0.001609257039046007,False,False,False
cg00741624,0.0016484881675303145,0.20125050077211498,0.6350431209539774,0.403279765470968,0.9880304561544013,0.002302292214885579,0.19903413344305032,42.37814043252996,2.5081477395736003,0.001476545626662702,False,False,False
cg01302656,0.0016885716121782066,0.1297607716265719,0.6355453527167232,0.4039178953598241,0.982698581421851,0.0021786574169790377,0.12690851119869512,42.444155701944695,2.5401430348877314,0.0015324986038430064,False,False,False
cg02360199,0.0010834712255592316,0.11407016467997913,0.5815554752449172,0.33820677078734157,0.9749567703128161,0.0013147644913214954,0.11389386324757708,59.84721262242974,3.1654572600484085,0.0010057575482241778,False,False,False
cg02540736,-0.0020123341805726776,0.7027650374750687,-0.5887517993611303,0.34662868125096863,0.4281733276432131,0.011112873896780298,0.7193273631076115,48.18916799833382,8.228262595674286,0.001190106472373545,False,False,False
cg04792813,0.0013313711195640547,0.12487885218239418,0.6547920697281624,0.42875265457889067,0.9703523884847938,0.0017149682790513223,0.12261158612352249,64.16427157461537,3.3819247921917945,0.0012459111275858685,False,False,False
cg05168491,0.0012057801160384478,0.4289879999473052,0.5647715290192681,0.31896687999076195,0.993135041427594,0.0023267142009563,0.4280337132813547,33.32111552118038,0.8701787720272682,0.0010664150023014748,False,False,False
cg05175318,0.0017321657166057952,0.22518017203409166,0.6102091372779005,0.3723551912174396,0.9597853802128116,0.00271057502954644,0.21952773743149817,35.12023815495088,1.9782487981455363,0.001572162500194182,False,False,False
cg05934592,-0.00128047080065465,0.43640324740794884,-0.6236393256432876,0.38892600848881453,0.005074590658830779,0.003422996188687019,0.43921189311067843,60.91341358974828,4.322666660270538,0.0010920450808552802,False,False,False
cg06821999,0.001765318841570114,0.1578817934933942,0.6821949145427016,0.465389901427924,0.3918379649589077,0.011810747871789765,0.14090232676407854,72.51431418599145,7.447785742465202,0.0010237617676554678,False,False,False
cg10124993,-0.001383102683915555,0.8408065647615767,-0.5558676420669404,0.3089888354970602,0.009741103522656839,0.0018372635625994599,0.8439454154687808,33.53670346668173,1.40367683042086,0.001299067398824158,False,False,False
cg14334310,-0.0018122492440787116,0.7125438744751427,-0.6389710750154699,0.40828403470642527,0.19338213842639526,0.0042697592227117455,0.7204992808682716,54.206915849907645,6.4852587354657825,0.0015325708723868492,False,False,False
cg14977938,-0.001936071664663515,0.8656586802589104,-0.6997783543853369,0.4896897452662501,0.6292280310205085,0.013423220357488112,0.8864855448283476,60.336736758683,3.8728541448328864,0.0010317109505044578,False,False,False
cg15480367,0.001786047194688759,0.19773601584327188,0.7492662427857215,0.5613999025782318,0.9896077235199554,0.0025191500436984897,0.1943335224866528,99.86864826808316,11.762014641419555,0.0015970045840089139,False,False,False
cg02494066,-0.0014867627436670932,0.8511787434924014,-0.6614970474920372,0.4375783438406825,0.03817360407322413,0.002019928248245518,0.8542741939100084,96.44946398210995,14.142615134834442,0.0013744460648396032,False,False,False
cg03216846,0.001777121582821994,0.17611956997404615,0.5834943172203785,0.34046561822847565,0.9605108160678428,0.002699196703586622,0.1669126625016345,27.185615733744967,1.0490328839406229,0.0016800918399546329,False,False,False
cg05697866,-0.0015242248762596792,0.8750075722674527,-0.5497671076043409,0.30224387260364294,0.03953895171360201,0.002073943949052857,0.8802082253506583,30.16708353801606,1.5393315071526432,0.0014466350124981964,False,False,False
cg06758591,0.0011272765057103284,0.21284920820187436,0.5716600348338985,0.32679519542629404,0.978800334779402,0.001705920486636174,0.2072420707498486,43.33149839185996,1.2006537747733113,0.0011288832915630925,False,False,False
cg06784991,0.0018728271135311078,0.17274852271955107,0.7961317259791175,0.6338257251104886,0.9972408717826977,0.0024684547065074785,0.17184292459820796,102.73920467805196,8.68231702119123,0.0016315683948927464,False,False,False
cg08231710,0.0022804921862179216,0.20861601810114155,0.6759525324606792,0.4569118261400056,0.977075087395211,0.0035083081924041273,0.20052776324977725,39.2273378551439,3.346329954054361,0.00198672686813338,False,False,False
cg11139646,0.0018833303210810028,0.11113262900558517,0.6736054088690967,0.4537442468577029,0.9235564759789627,0.002751263585967506,0.1020707443950047,38.433773272395406,1.3004291594208504,0.0017643914772220682,False,False,False
cg14852384,0.0010285619170054311,0.10305167730130449,0.5622596001503435,0.3161358579612241,0.8767572641531779,0.0015520679730815594,0.09745077038794002,50.39802322994436,1.5990112995832073,0.0010518507535100929,False,False,False
cg15084543,0.0031248883037202236,0.24063755201903175,0.6474190303990114,0.419151400922796,0.5568518711640208,0.018707145801918592,0.19415305903712038,25.557714757731702,3.123097753623412,0.001259959968412171,False,False,False
cg16037711,-0.0017496386071775012,0.4638085643123427,-0.6229660270349752,0.3880866708397414,0.18744209757796318,0.008932217858526008,0.47514699142654954,106.00456289561542,44.69181641240298,0.0011502106722767926,False,False,False
cg17603689,0.0014429382944166121,0.1848199221936095,0.6229159896910464,0.3880243302127759,0.47693632724268825,0.006944429641860858,0.1716500675644402,64.73530753304634,3.8795011855976345,0.0011347765891933374,False,False,False
cg22617819,-0.0019177179466432362,0.8444121567991455,-0.62491665645451,0.3905208275142841,0.020698129601147235,0.0026133691649033023,0.8482653121231014,49.338516420065254,7.071493090907316,0.0017094506201524526,False,False,False
cg22851420,0.002247694065688392,0.13827642430941098,0.6957381077825111,0.48405151462078905,0.4314851138189768,0.012193497206955457,0.1156864347201325,42.19815257653576,1.3312093282029447,0.0012851014765446723,False,False,False
cg23626733,-0.0017864709237521556,0.7296102770663263,-0.6206091326866601,0.38515569557408846,0.021359827355494097,0.002913314278085486,0.7353033343886087,49.269535354874115,6.07156421338452,0.0016002208223190927,False,False,False
cg23629166,-0.002208426404967244,0.8287309919631829,-0.5974557213244863,0.3569533389433623,0.5582318865881534,0.013308865894951427,0.8521198586456241,32.59702311659744,3.8277202640893107,0.0011806626628717688,False,False,False
cg24035245,0.0016807825458256247,0.12236128628700925,0.5639323624715796,0.3180197094427771,0.9850642138798666,0.002268149389723693,0.11489082776849786,23.410000363444663,0.5579715703942795,0.0016092496497408441,False,False,False
cg24740868,0.0014637707891232022,0.238511191379074,0.5568003726903603,0.31002665502812415,0.9465543191517639,0.002439262777910516,0.23113908581839504,36.39644097262797,2.2124341466422814,0.0014011173767026382,False,False,False
cg27314669,-0.0014850041086016588,0.8192216319076361,-0.6012253036308858,0.3614718657260508,0.012886822706575598,0.0020075696890264564,0.8211889856895555,154.267698760186,63.34766093046284,0.001354489028235487,False,False,False
cg01429449,0.0013169953506726314,0.1368838832004706,0.5509560622945556,0.30355258257912227,0.9509174834714413,0.0018193190964606557,0.1324747440265243,46.35574499253595,3.545881906069579,0.0012641143356421144,False,False,False
cg02347074,0.0014062561949977335,0.13711078147936434,0.6163170899727831,0.37984675539251966,0.9646878079439691,0.0019318322642084545,0.1323018146419463,47.264877738819216,2.2771466360471306,0.0013514052770256465,False,False,False
cg02488942,0.0011779754852775438,0.1199063686183697,0.5676221643804501,0.3221949214959467,0.9731636240556956,0.001543608352215175,0.11599324456771679,52.42895076050418,2.971256142055206,0.0011515161195193488,False,False,False
cg03420881,0.0017835230997601196,0.19424652225551614,0.6219500285807212,0.38682183805155995,0.976047846338107,0.002657087602062916,0.1872727166935074,34.05784712817051,1.552956234485631,0.0016500717087116956,False,False,False
cg08566455,0.002375919103192849,0.1341415659127942,0.5765646780514387,0.3324268279765592,0.9909124534345815,0.003229494199602832,0.12639105231286504,16.868714215963983,0.6001728927397861,0.0020877602357042384,False,False,False
cg08621843,0.0010398749809231156,0.10428794200902207,0.5557967579436618,0.30891003614068535,0.9791878424810961,0.0013574906989108953,0.09954177379278331,42.11815069464296,0.9445597474275677,0.0010567816508978642,False,False,False
cg08857994,0.001716005097599115,0.1252661819774533,0.6223978077456648,0.3873790310866095,0.7897489438125923,0.003162365658026259,0.11481784737045346,35.39133407062625,1.242624440035941,0.0016057048058913093,False,False,False
cg10269365,0.0011790813250624904,0.15076522753293622,0.5610477075336193,0.31477453012872963,0.9406679601559027,0.001721070818526282,0.14532281193127305,43.72904212424781,1.7810290864419762,0.0011724213996203727,False,False,False
cg15121420,-0.001778833654026668,0.6789830447063849,-0.7910140819527888,0.6257032778476133,0.019140336464351156,0.0031001428733717184,0.683816309398286,131.18589681246482,16.376402725265592,0.0015588988773619693,False,False,False
cg18077307,-0.002187667138548248,0.6888587461005135,-0.628056487512253,0.3944549515062288,0.12430209159562143,0.004824048512701255,0.6992023694963262,36.64897591028893,4.526623865275917,0.0017965900773786146,False,False,False
cg18667659,0.0025091590475539594,0.45951635358341725,0.6709489086285846,0.45017243798988876,0.9970170455746997,0.005896236311655316,0.4496177789420902,23.625517909819628,1.2551265559696108,0.001898522864221217,False,False,False
cg20731257,-0.0014256863760585222,0.8476337162285315,-0.5619245535380287,0.31575920386891293,0.007391673769402034,0.0017654689056121227,0.8468435174581336,64.70900180072529,10.375935248446766,0.0012642991731053696,False,False,False
cg22454769,0.005607718270738022,0.23794028278911783,0.905841939871767,0.8205496200306459,0.8695841161897344,0.015160993344832995,0.17503458007044814,56.524045583460904,7.2249909571334285,0.0026905475096051564,False,False,False
cg23851558,-0.002083304565014216,0.7172378261264619,-0.5731503862944209,0.32850136530944396,0.022717949243130003,0.0035162303628190395,0.7239903308107968,35.75752190911193,5.8715331521337415,0.0017969123978039746,False,False,False
cg24436906,0.001976593801541411,0.10711652156053257,0.7600038954628191,0.5776059211186597,0.9449524973919535,0.002753426648415287,0.09951059319890977,63.56694815303231,2.881848277731797,0.0018169185591876,False,False,False
