,GSM1272122,GSM1272123,GSM1272124,GSM1272125,GSM1272126,GSM1272127,GSM1272128,GSM1272129,GSM1272130,GSM1272131,GSM1272132,GSM1272133,GSM1272134,GSM1272135,GSM1272136,GSM1272137,GSM1272138,GSM1272139,GSM1272140,GSM1272141,GSM1272142,GSM1272143,GSM1272144,GSM1272145,GSM1272146,GSM1272147,GSM1272148,GSM1272149,GSM1272150,GSM1272151,GSM1272152,GSM1272153,GSM1272154,GSM1272155,GSM1272156,GSM1272157,GSM1272158,GSM1272159,GSM1272160,GSM1272161,GSM1272162,GSM1272163,GSM1272164,GSM1272165,GSM1272166,GSM1272167,GSM1272168,GSM1272169,GSM1272170,GSM1272171,GSM1272172,GSM1272173,GSM1272174,GSM1272175,GSM1272176,GSM1272177,GSM1272178,GSM1272179,GSM1272180,GSM1272181,GSM1272182,GSM1272183,GSM1272184,GSM1272185,GSM1272186,GSM1272187,GSM1272188,GSM1272189,GSM1272190,GSM1272191,GSM1272192,GSM1272193,GSM1272194,GSM1272195,GSM1272196,GSM1272197,GSM1272198,GSM1272199,GSM1272200,GSM1272201,GSM1272202,GSM1272203,GSM1272204,GSM1272205,GSM1272206,GSM1272207,GSM1272208
cg24724428,0.06818182,0.02757272,0.07212415,0.1082045,0.1812019,0.1192976,0.1082852,0.07704476,0.1147387,0.1059297,0.1103402,0.1386193,0.1046502,0.1809089,0.1304696,0.07018066,0.08628634,0.05341214,0.05568752,0.09949656,0.1465474,0.05533548,0.04858258,0.06803888,0.1092011,0.0742326,0.1777364,0.07012232,0.06934521,0.1157213,0.07600486,0.07042254,0.09331395,0.1449359,0.07609191,0.1043546,0.1073386,0.1274502,0.1531776,0.09849222,0.1647035,0.1382398,0.1000204,0.1290113,0.06564357,0.1127787,0.1092542,0.08459784,0.1212606,0.1423135,0.1130823,0.09674016,0.1017284,0.08572933,0.0920597,0.1512675,0.05703625,0.0865365,0.2035291,0.1371881,0.1117432,0.1812304,0.1877946,0.2644205,0.1870192,0.2238523,0.2006604,0.2114732,0.2154314,0.3656771,0.1962351,0.1853708,0.1380838,0.1328083,0.1651908,0.1872851,0.2486422,0.2602812,0.2382433,0.160345,0.1822871,0.1770619,0.1894127,0.1488161,0.1773494,0.1661434,0.1488892
cg09401099,0.01988312,0.03364738,0.05479998,0.07886072,0.1393868,0.088438,0.0434884,0.04301605,0.04326583,0.05587371,0.03989842,0.04823539,0.05660661,0.08595946,0.06307068,0.0440741,0.06893688,0.04501097,0.05114083,0.06536523,0.09942663,0.03530859,0.03719448,0.02848176,0.09215363,0.05709312,0.07490018,0.05367653,0.08832278,0.04818527,0.05752138,0.04718147,0.05070243,0.08227128,0.04646054,0.06325458,0.04368966,0.06024643,0.1180389,0.03739603,0.08598033,0.0394545,0.06089166,0.06986012,0.04524034,0.07145426,0.05981555,0.05423237,0.09624146,0.1141311,0.05715983,0.05655377,0.06270838,0.06732062,0.04395,0.06525586,0.04918157,0.07076636,0.145334,0.07010222,0.05123404,0.07665544,0.1616025,0.1597303,0.09577554,0.05876167,0.1326443,0.1676778,0.117465,0.2481836,0.07444587,0.08887077,0.1157288,0.09729885,0.1312024,0.07750395,0.0951701,0.1005821,0.1923652,0.06129658,0.08566011,0.07508383,0.1246957,0.1113215,0.1020221,0.102044,0.105665
cg25778262,0.1331759,0.1896127,0.2457263,0.2367964,0.3016448,0.2653285,0.2317189,0.2154925,0.2191359,0.2245748,0.2160263,0.2640653,0.2338652,0.2685886,0.221021,0.2300598,0.2245727,0.1832858,0.1883836,0.2147416,0.2704791,0.1913521,0.1787395,0.1610634,0.2144966,0.1962861,0.2457306,0.1724622,0.1705324,0.2086937,0.2055301,0.2329009,0.226428,0.245148,0.2234176,0.2179473,0.2057909,0.2303039,0.2469848,0.2000385,0.2524389,0.2207407,0.1966912,0.2426471,0.1789519,0.1820212,0.197805,0.2007504,0.2015986,0.2333976,0.1982769,0.2361553,0.18939,0.1898188,0.1855214,0.2146899,0.1798996,0.1912932,0.3041636,0.2495494,0.224043,0.2755704,0.304345,0.3424701,0.262764,0.2497362,0.2895478,0.2629427,0.2834448,0.3033284,0.2839383,0.2695129,0.2060221,0.2535257,0.2367522,0.2475357,0.2942472,0.319698,0.2992619,0.2193106,0.2428602,0.265671,0.242428,0.3963323,0.2662237,0.2480301,0.2824567
cg26161329,0.1082694,0.1000067,0.1211482,0.1335337,0.1830842,0.1497313,0.1333124,0.1371609,0.1527642,0.1168921,0.1535005,0.1410923,0.123444,0.1242531,0.1173659,0.115555,0.1168543,0.1041741,0.09913605,0.09286858,0.1185165,0.08556802,0.08961052,0.07415991,0.09602586,0.06577481,0.06842262,0.05121781,0.09180661,0.1205858,0.172823,0.1024769,0.1361917,0.1281323,0.111022,0.1164939,0.1263918,0.1584695,0.1538169,0.1003242,0.1565086,0.1382447,0.1342544,0.1698881,0.08029197,0.08468543,0.1105329,0.08830918,0.1042559,0.1175912,0.07269056,0.09380032,0.07642146,0.09027427,0.09642427,0.08877768,0.07596811,0.1138726,0.1781448,0.1587721,0.1432364,0.1944768,0.1663771,0.2018565,0.1449748,0.1701458,0.1818753,0.2005811,0.1660193,0.1688963,0.1729499,0.1518298,0.1117482,0.122109,0.1534975,0.134246,0.1623239,0.1179724,0.1510732,0.1157257,0.09395538,0.1248166,0.1003186,0.1421006,0.1150798,0.1090584,0.1104931
cg07806886,0.03750855,0.04918551,0.07412848,0.07380264,0.09774949,0.0707274,0.05481965,0.06067031,0.06481752,0.06779197,0.04595595,0.06688496,0.07542475,0.08238974,0.05645043,0.07456565,0.07137366,0.05029934,0.04981806,0.05823702,0.09683653,0.05235821,0.03652874,0.03890433,0.06628351,0.0489418,0.06930517,0.04938272,0.05148064,0.05184099,0.07232103,0.05129034,0.05964199,0.06554282,0.06776664,0.05306836,0.03922001,0.06203563,0.0628716,0.05335827,0.08156465,0.0812232,0.06141412,0.08564035,0.04737775,0.06029813,0.05000832,0.06611947,0.06981502,0.05989037,0.05632271,0.03985116,0.05098792,0.04802674,0.04200196,0.06463195,0.03998142,0.04532818,0.1022589,0.07925897,0.07409086,0.1254114,0.1468902,0.1163414,0.09428351,0.1660634,0.08224155,0.1152522,0.1198654,0.1409431,0.09730993,0.09306299,0.0465691,0.0769903,0.07182984,0.08131897,0.09801295,0.1000554,0.1144904,0.06739987,0.07951659,0.08762425,0.06209842,0.07446133,0.09630928,0.06066135,0.06248116
cg04940570,0.04539979,0.02617267,0.03612013,0.06951394,0.1084446,0.08734217,0.04810583,0.05498545,0.06661503,0.03841949,0.04458599,0.04541567,0.07121404,0.1597483,0.05149162,0.06367258,0.08468547,0.04310808,0.0332564,0.07123549,0.1057949,0.04034954,0.04492084,0.0370892,0.08473972,0.06923379,0.1310987,0.05418999,0.05512593,0.05602524,0.03120162,0.02262443,0.05253797,0.04155447,0.05578649,0.05434971,0.05713877,0.04914764,0.06899363,0.03369395,0.08459499,0.04930143,0.04112958,0.08341683,0.04728048,0.03832208,0.03838315,0.04777007,0.08128197,0.08916657,0.06205842,0.06964374,0.04530698,0.06375775,0.03760518,0.06771487,0.04671566,0.04669286,0.1091155,0.08204316,0.04285796,0.07892445,0.08522107,0.1284676,0.0634732,0.1106938,0.08703805,0.1125908,0.1098143,0.110524,0.07789609,0.09546667,0.05437001,0.07643218,0.09086848,0.07354618,0.1637791,0.1694853,0.1936204,0.1213889,0.1018338,0.1119323,0.107518,0.178734,0.1125482,0.09348807,0.08346806
cg07336350,0.08484189,0.1197645,0.120937,0.1658719,0.284173,0.2289021,0.1605355,0.1654472,0.1928398,0.1430111,0.2001044,0.1380273,0.2110708,0.258151,0.1539869,0.179712,0.2076879,0.1732328,0.1594132,0.1788453,0.2543304,0.1682386,0.1439227,0.1408509,0.1492307,0.1354687,0.2221448,0.1255017,0.1581007,0.1297634,0.1521739,0.1531532,0.1729351,0.1814697,0.1808967,0.09406263,0.1520753,0.1598138,0.1883179,0.1289863,0.1764752,0.1631555,0.1207216,0.1911017,0.147512,0.1835938,0.1494285,0.1833176,0.1682768,0.2007853,0.2061841,0.1581025,0.2929498,0.1549487,0.1240683,0.2871473,0.1364617,0.1738689,0.2430001,0.2061802,0.1903089,0.2229965,0.2891017,0.257307,0.1907626,0.2225471,0.2344071,0.2568338,0.2523701,0.1856722,0.2066337,0.2490829,0.1865602,0.2116375,0.17875,0.2079565,0.2882062,0.2932852,0.2377596,0.2008038,0.2164768,0.2258897,0.2383694,0.1702443,0.2126412,0.1818048,0.2957245
cg00664406,0.2855511,0.2639639,0.3373192,0.4039405,0.4517519,0.4425724,0.3605365,0.3865281,0.3999871,0.4105058,0.4405313,0.3909403,0.3664751,0.452773,0.3675224,0.399971,0.3989146,0.3967886,0.369373,0.4419267,0.4427364,0.3994085,0.3237222,0.3405712,0.4511386,0.3570462,0.4465669,0.3480688,0.3519104,0.3614395,0.367012,0.2964813,0.2936723,0.3387073,0.3410091,0.3305072,0.3184037,0.443775,0.4067115,0.407405,0.5044324,0.4330205,0.3662216,0.3731387,0.3447116,0.3896723,0.3337005,0.4095097,0.4517525,0.4915719,0.4337764,0.4328006,0.4221731,0.3948826,0.3019634,0.4561122,0.3513916,0.331112,0.4554837,0.4700503,0.4122626,0.4518002,0.4037876,0.5110719,0.3919711,0.4087013,0.4944063,0.5016413,0.5421397,0.4209484,0.4788213,0.3581928,0.3636132,0.5070451,0.4817606,0.4827586,0.5294217,0.4493734,0.4813999,0.4306292,0.4707885,0.5062082,0.5005062,0.3463217,0.5670746,0.4575962,0.4400856
cg23744638,0.7987191,0.7276084,0.8019114,0.7597911,0.7423285,0.8165649,0.826595,0.8198101,0.8366686,0.7179371,0.7622095,0.7834044,0.8441572,0.782152,0.7073743,0.7849485,0.8208035,0.842475,0.8466983,0.820015,0.7986232,0.7589048,0.8449373,0.7848491,0.6938045,0.7904074,0.54103,0.8170409,0.8419862,0.7027357,0.6667005,0.7247047,0.7811829,0.591151,0.7816047,0.7708183,0.7890171,0.8290652,0.6923949,0.8047688,0.7561293,0.7412477,0.6588663,0.7995662,0.823272,0.8198521,0.8125493,0.7187063,0.6489387,0.7034768,0.757278,0.7910383,0.7347718,0.6788812,0.7592391,0.6136198,0.8438864,0.7332687,0.7071137,0.5627725,0.768727,0.5760022,0.525915,0.6858708,0.6458717,0.7288542,0.701148,0.5093777,0.6527837,0.4153716,0.6855561,0.7446685,0.7399908,0.7643966,0.7460368,0.7915195,0.6250312,0.4737038,0.707522,0.5234884,0.7398229,0.5795889,0.6243106,0.4682482,0.4363921,0.7765258,0.6533528
cg16290275,0.2381667,0.3186432,0.3868912,0.2709452,0.3081941,0.346121,0.3949291,0.3023788,0.3130728,0.2452747,0.3285456,0.2991803,0.3510888,0.2386956,0.2619419,0.2637965,0.261973,0.2763687,0.2217285,0.2030457,0.1529749,0.2601972,0.2012568,0.25497,0.1966002,0.1886099,0.1838953,0.1793876,0.25299,0.3135538,0.3291663,0.3267134,0.290939,0.2414311,0.3226209,0.3191309,0.3053967,0.3178555,0.2404665,0.3118254,0.2911051,0.2683693,0.2381672,0.3185071,0.2239604,0.2968314,0.2731415,0.2287277,0.1997953,0.192673,0.2009874,0.2643746,0.2340314,0.2035491,0.1940245,0.1721102,0.2471127,0.1840527,0.2839832,0.2655208,0.2785586,0.2950886,0.2311553,0.2921618,0.2850379,0.2283444,0.2952338,0.2083767,0.2310421,0.2139781,0.2519934,0.2757787,0.2306543,0.2214606,0.2007321,0.2596461,0.1639953,0.1288595,0.1701552,0.1627944,0.2339164,0.1511903,0.1685671,0.08233146,0.1530227,0.1868171,0.1597711
cg16008966,0.561521,0.5539244,0.56487,0.4808566,0.473631,0.4957671,0.5510637,0.4728235,0.5264385,0.5117679,0.4714836,0.5072798,0.537577,0.4532259,0.4485928,0.4401567,0.4980331,0.5052662,0.4899934,0.4042045,0.4366429,0.4457884,0.4650619,0.5332617,0.4338505,0.4923956,0.4278217,0.4500605,0.5225896,0.5581251,0.5896728,0.5883416,0.5651193,0.4729914,0.5591403,0.5700213,0.5541995,0.5371366,0.5046625,0.5594519,0.5280816,0.5469367,0.5211915,0.507123,0.5287111,0.5892174,0.5616649,0.569389,0.46565,0.518478,0.5190729,0.5232728,0.4962081,0.5416893,0.5529056,0.4999769,0.5947958,0.5043378,0.491596,0.56167,0.5392553,0.4297968,0.4766037,0.4626535,0.524875,0.4714107,0.4645029,0.4411422,0.4928297,0.4927802,0.5361654,0.4875592,0.5300459,0.4270485,0.4838586,0.5139579,0.4899451,0.3986573,0.4490549,0.3942992,0.4972427,0.4280922,0.4524398,0.458689,0.4742591,0.4894068,0.4751388
cg23995914,0.1168711,0.05270961,0.1772375,0.1935658,0.2384399,0.1908435,0.1353703,0.1697576,0.2193698,0.1602055,0.1399402,0.1391532,0.2003387,0.2117572,0.06236293,0.1630854,0.1857736,0.1363705,0.1400718,0.1482416,0.2143704,0.1228044,0.1011296,0.1041815,0.2041245,0.1720781,0.1793473,0.08811925,0.144365,0.1398704,0.096869,0.1320352,0.1322428,0.1554448,0.1175746,0.1123089,0.1082171,0.1603234,0.1945875,0.1099591,0.1523836,0.1666404,0.1436592,0.1793455,0.1102549,0.1684047,0.1086408,0.1665943,0.115035,0.2923415,0.1583266,0.1334291,0.1126344,0.1648267,0.1022238,0.1335208,0.1177107,0.130634,0.2012195,0.2286056,0.2014177,0.166546,0.1556053,0.2406495,0.1998688,0.1602375,0.2412468,0.2415347,0.2387825,0.148576,0.2065705,0.1785915,0.1465374,0.1549955,0.2400473,0.2008055,0.1937036,0.2494166,0.2566665,0.1562694,0.1562875,0.2472338,0.1675467,0.1460967,0.2048808,0.1464668,0.1683537
cg09515953,0.02059848,0.02979886,0.06595246,0.05542284,0.2031762,0.09457396,0.06234596,0.06670762,0.1341811,0.07293788,0.05462008,0.04428764,0.1363528,0.1497945,0.08126016,0.06404618,0.09256063,0.06587926,0.04974714,0.06969991,0.09686039,0.03582296,0.02675793,0.03627894,0.06265637,0.05030801,0.1261649,0.05223386,0.02665076,0.05894166,0.04286175,0.02243963,0.07220011,0.09474886,0.07132018,0.04735174,0.05396136,0.08837257,0.1040804,0.05987583,0.1060945,0.09836066,0.05346939,0.1178821,0.06510227,0.04898337,0.04958763,0.06912626,0.0584127,0.09412111,0.08017538,0.08264972,0.08276591,0.0481268,0.03432908,0.0758882,0.05788695,0.05461057,0.1269424,0.1199251,0.06165703,0.1088215,0.127902,0.1862469,0.1264078,0.1736587,0.137308,0.08763772,0.1456585,0.1541705,0.1046497,0.09476147,0.06568544,0.08597589,0.08021913,0.1171613,0.1259748,0.1130454,0.1499868,0.09100394,0.08174309,0.1126289,0.073334,0.05822383,0.06548513,0.08291604,0.0678125
cg09809672,0.4004764,0.4088057,0.5084955,0.3841954,0.336661,0.4222262,0.4479333,0.4039199,0.3889472,0.3139999,0.3177806,0.3265071,0.4997301,0.3312578,0.3458884,0.3298034,0.3389862,0.3609052,0.4304941,0.3257929,0.3256026,0.3624306,0.4221362,0.398741,0.3170551,0.319993,0.2890734,0.341534,0.3727234,0.4164635,0.5161224,0.53299,0.5245826,0.3870611,0.5070865,0.5335419,0.5075291,0.4845399,0.3473816,0.4566054,0.4497726,0.4156497,0.4937573,0.5573145,0.5144237,0.6127006,0.5421078,0.4984002,0.4388881,0.3405488,0.4434398,0.4604976,0.4298349,0.3734145,0.4878777,0.5001983,0.6068131,0.4356819,0.5087007,0.4521347,0.4667366,0.3121035,0.3377837,0.3504278,0.3677854,0.4496613,0.3506735,0.2871366,0.4453565,0.2595658,0.409841,0.4048541,0.4871038,0.4385572,0.4101873,0.4459647,0.4636018,0.2634904,0.326545,0.4118414,0.3951443,0.3020396,0.3400733,0.3037176,0.3088235,0.4986588,0.3527822
